00:14:bf:eb:81:5d,00:22:b0:68:05:36,02:2c:2c:36:bb:34,20:c9:d0:aa:22:68,20:c9:d0:aa:22:69,22:e2:30:f4:40:5d,34:fc:b9:ee:20:20,34:fc:b9:ee:20:21,34:fc:b9:ee:da:a0,34:fc:b9:ee:da:a1,34:fc:b9:ee:da:b0,34:fc:b9:ee:da:b1,38:72:c0:47:8a:af,38:d5:47:73:ef:f8,38:d5:47:73:ef:fc,40:b0:34:b2:2c:a2,40:e3:d6:b1:b2:c0,40:e3:d6:b1:b2:c1,40:e3:d6:b1:b2:d0,40:e3:d6:b1:b2:d1,40:e3:d6:b2:47:40,40:e3:d6:b2:47:41,40:e3:d6:b2:47:50,40:e3:d6:b2:47:51,40:e3:d6:b2:49:a0,40:e3:d6:b2:49:a1,40:e3:d6:b2:49:b0,40:e3:d6:b2:49:b1,40:e3:d6:b2:4d:40,40:e3:d6:b2:4d:41,40:e3:d6:b2:4d:50,40:e3:d6:b2:4d:51,40:e3:d6:b2:54:20,40:e3:d6:b2:54:21,40:e3:d6:b2:54:23,40:e3:d6:b2:54:30,40:e3:d6:b2:54:31,40:e3:d6:b2:54:33,54:b8:0a:12:e7:ae,60:e3:27:be:73:bc,6a:14:01:38:a9:9f,90:94:e4:3d:43:98,_id,a8:bd:27:6a:a5:c0,a8:bd:27:6a:a5:c1,a8:bd:27:6a:a5:d0,a8:bd:27:6a:a5:d1,a8:bd:27:6a:a8:e0,a8:bd:27:6a:a8:e1,a8:bd:27:6a:a8:f0,a8:bd:27:6a:a8:f1,a8:bd:27:6a:b5:40,a8:bd:27:6a:b5:41,a8:bd:27:6a:b5:50,a8:bd:27:6a:b5:51,a8:bd:27:6a:c1:c0,a8:bd:27:6a:c1:c1,a8:bd:27:6a:c1:d0,a8:bd:27:6a:c1:d1,a8:bd:27:6a:c6:60,a8:bd:27:6a:c6:61,a8:bd:27:6a:c6:70,a8:bd:27:6a:c6:71,ac:a3:1e:df:0a:60,ac:a3:1e:df:0a:61,ac:a3:1e:df:0a:70,ac:a3:1e:df:0a:71,ac:a3:1e:df:3b:40,ac:a3:1e:df:3b:41,ac:a3:1e:df:43:20,ac:a3:1e:df:43:21,ac:a3:1e:df:43:30,ac:a3:1e:df:43:31,ac:a3:1e:df:46:20,ac:a3:1e:df:46:21,e4:8d:8c:9d:a2:ca,f4:f2:6d:c4:fc:72,lat,lng,waypoint_id
-84.0,-90.0,,-84,-71,-86.0,,,-83.0,-89.0,-75.0,-75.0,,,,,,,,,-72.0,-71.0,-57,,,,,,-85.0,-85.0,-74.0,-75.0,-84.0,-85.0,-85.0,,,,,-86.0,,-85.0,5af9b2721a6fb40ea5949f51,,,,,,,,,,,,,-80.0,-78.0,-69.0,-69.0,-80.0,-80.0,-71,-71,,-87.0,,,,,,,,,,,,-82,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-84.0,-90.0,,-84,-71,-86.0,,,-83.0,-89.0,-75.0,-75.0,,,,,,,,,-72.0,-71.0,-57,,,,,,-85.0,-85.0,-74.0,-75.0,-84.0,-85.0,-85.0,,,,,-86.0,,-85.0,5af9b2731a6fb40ea5949f52,,,,,,,,,,,,,-80.0,-78.0,-69.0,-69.0,-80.0,-80.0,-71,-71,,-87.0,,,,,,,,,,,,-82,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-84.0,-90.0,,-78,-69,-86.0,,,-83.0,,-73.0,-73.0,-94.0,,,,,,,,-69.0,-71.0,-58,,,,,,-85.0,-86.0,-75.0,-76.0,-88.0,-89.0,-89.0,,,,,-75.0,,-81.0,5af9b2741a6fb40ea5949f53,,,,,,,,,,,,,-75.0,-75.0,-69.0,-69.0,-80.0,-80.0,-75,-75,-84.0,-84.0,,,,,,,,,,,,-86,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-84.0,-90.0,,-78,-69,-86.0,,,-83.0,,-73.0,-73.0,-94.0,,,,,,,,-69.0,-71.0,-58,,,,,,-85.0,-86.0,-75.0,-76.0,-88.0,-89.0,-89.0,,,,,-75.0,,-81.0,5af9b2751a6fb40ea5949f54,,,,,,,,,,,,,-75.0,-75.0,-69.0,-69.0,-80.0,-80.0,-75,-75,-84.0,-84.0,,,,,,,,,,,,-86,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-84.0,-90.0,,-78,-69,-86.0,,,-83.0,,-73.0,-73.0,-94.0,,,,,,,,-69.0,-71.0,-58,,,,,,-85.0,-86.0,-75.0,-76.0,-88.0,-89.0,-89.0,,,,,-75.0,,-81.0,5af9b2761a6fb40ea5949f55,,,,,,,,,,,,,-75.0,-75.0,-69.0,-69.0,-80.0,-80.0,-75,-75,-84.0,-84.0,,,,,,,,,,,,-86,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-82.0,-90.0,,-87,-67,-87.0,,,,,-79.0,-79.0,-94.0,-93.0,,,,,,,-65.0,-71.0,-57,,,-89.0,,,-84.0,-83.0,-71.0,-71.0,-88.0,-89.0,-87.0,-86.0,-85.0,-86.0,,-73.0,,-87.0,5af9b27b1a6fb40ea5949f56,,,,,-89.0,-88.0,,,,,,,-75.0,-75.0,-70.0,-72.0,-81.0,-81.0,-76,-76,-84.0,-84.0,,,,,,,,,,,,-79,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-82.0,-90.0,,-87,-67,-87.0,,,,,-79.0,-79.0,-94.0,-93.0,,,,,,,-65.0,-71.0,-57,,,-89.0,,,-84.0,-83.0,-71.0,-71.0,-88.0,-89.0,-87.0,-86.0,-85.0,-86.0,,-73.0,,-87.0,5af9b27c1a6fb40ea5949f57,,,,,-89.0,-88.0,,,,,,,-75.0,-75.0,-70.0,-72.0,-81.0,-81.0,-76,-76,-84.0,-84.0,,,,,,,,,,,,-79,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-79.0,,,-85,-74,-83.0,,,-89.0,,-74.0,-75.0,-94.0,-93.0,,,,,,,-66.0,-68.0,-53,,,-89.0,,,-84.0,-83.0,-70.0,-70.0,-90.0,-89.0,-89.0,-86.0,-85.0,-86.0,,-73.0,,-87.0,5af9b27e1a6fb40ea5949f58,,,,,-91.0,-88.0,,,,,,,-77.0,-78.0,-70.0,-72.0,-81.0,-81.0,-77,-77,-84.0,-88.0,,,,,,,,,,,,-76,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-79.0,,,-85,-74,-83.0,,,-89.0,,-74.0,-75.0,-94.0,-93.0,,,,,,,-66.0,-68.0,-53,,,-89.0,,,-84.0,-83.0,-70.0,-70.0,-90.0,-89.0,-89.0,-86.0,-85.0,-86.0,,-73.0,,-87.0,5af9b27f1a6fb40ea5949f59,,,,,-91.0,-88.0,,,,,,,-77.0,-78.0,-70.0,-72.0,-81.0,-81.0,-77,-77,-84.0,-88.0,,,,,,,,,,,,-76,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-74.0,-86.0,,-78,-74,-80.0,,,-87.0,-88.0,-67.0,-67.0,,,-88.0,,,,,,-62.0,-70.0,-42,,-89.0,,,,-75.0,-75.0,-64.0,-65.0,-81.0,-92.0,-87.0,,,,,-75.0,-90.0,-82.0,5af9b28f1a6fb40ea5949f5b,,,,,-85.0,,-62.0,,,,,,-72.0,-69.0,-68.0,-68.0,-78.0,-77.0,-76,-76,-85.0,-86.0,,,,,-93.0,-91.0,,,,,-88.0,-69,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
